Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2020-01-02,AAPL,74.059998,75.150002,73.797501,75.087502,73.347946,135480400
2020-01-02,MSFT,158.779999,160.729996,158.330002,160.619995,155.422058,22622100
2020-01-02,ORCL,53.27,53.959999,53.23,53.950001,50.739223,13899600
2020-01-03,AAPL,74.287498,75.144997,74.125,74.357498,72.63485,146322800
2020-01-03,MSFT,158.320007,159.949997,158.059998,158.619995,153.48674,21116200
2020-01-03,ORCL,52.990002,54.049999,52.950001,53.759998,50.560532,11026700
2020-01-06,AAPL,73.447502,74.989998,73.1875,74.949997,73.213608,118387200
2020-01-06,MSFT,157.080002,159.100006,156.509995,159.029999,153.883514,20813700
2020-01-06,ORCL,53.360001,54.200001,53.349998,54.040001,50.823864,10982400
2020-01-07,AAPL,74.959999,75.224998,74.370003,74.597504,72.869301,108872000
2020-01-07,MSFT,159.320007,159.669998,157.320007,157.580002,152.480453,21634100
2020-01-07,ORCL,53.889999,54.330002,53.610001,54.16,50.936729,12015400
2020-01-08,MSFT,158.929993,160.800003,157.949997,160.089996,154.909195,27746500
2020-01-08,ORCL,53.939999,54.599998,53.700001,54.130001,51.135101,11856700
2020-01-08,AAPL,74.290001,76.110001,74.290001,75.797501,74.041473,132079200
2020-01-09,ORCL,54.25,54.799999,54.029999,54.380001,51.371281,10671000
2020-01-09,AAPL,76.809998,77.607498,76.550003,77.407501,75.614189,170108400
2020-01-09,MSFT,161.839996,162.220001,161.029999,162.089996,156.844467,21385000
2020-01-10,ORCL,54.549999,54.650002,54.220001,54.450001,51.437397,9734800
2020-01-10,AAPL,77.650002,78.167503,77.0625,77.582497,75.785126,140644800
2020-01-10,MSFT,162.820007,163.220001,161.179993,161.339996,156.118729,20725900
2020-01-13,ORCL,54.459999,54.790001,54.360001,54.580002,51.560211,10858900
2020-01-13,AAPL,77.910004,79.267502,77.787498,79.239998,77.404221,121532000
2020-01-13,MSFT,161.759995,163.309998,161.259995,163.279999,157.995972,21626500
2020-01-14,ORCL,54.52,55.18,54.5,54.880001,51.843616,12627200
2020-01-14,MSFT,163.389999,163.600006,161.720001,162.130005,156.883163,23477400
2020-01-14,AAPL,79.175003,79.392502,78.042503,78.169998,76.359024,161954400
2020-01-15,MSFT,162.619995,163.940002,162.570007,163.179993,157.899185,21417900
2020-01-15,ORCL,54.880001,55.18,54.68,54.759998,51.730251,9090800
2020-01-15,AAPL,77.962502,78.875,77.387497,77.834999,76.031784,121923600
2020-01-16,MSFT,164.350006,166.240005,164.029999,166.169998,160.792435,23865400
2020-01-16,ORCL,54.98,55.450001,54.93,55.43,52.363182,9866000
2020-01-16,AAPL,78.397499,78.925003,78.022499,78.809998,76.9842,108829200
2020-01-17,MSFT,167.419998,167.470001,165.429993,167.100006,161.692352,34371700
2020-01-17,ORCL,55.630001,55.689999,54.849998,55.130001,52.079784,11166600
2020-01-17,AAPL,79.067497,79.684998,78.75,79.682503,77.836472,137816400
2020-01-21,ORCL,54.98,55.360001,54.919998,55.220001,52.164803,8773000
2020-01-21,AAPL,79.297501,79.754997,79.0,79.142502,77.309006,110843200
2020-01-21,MSFT,166.679993,168.190002,166.429993,166.5,161.111725,29517200
2020-01-22,AAPL,79.644997,79.997498,79.327499,79.425003,77.584946,101832400
2020-01-22,MSFT,167.399994,167.490005,165.679993,165.699997,160.337646,24138800
2020-01-22,ORCL,55.41,55.650002,54.599998,54.720001,51.692467,6380500
2020-01-23,AAPL,79.480003,79.889999,78.912498,79.807503,77.958603,104472000
2020-01-23,MSFT,166.190002,166.800003,165.270004,166.720001,161.324615,19680800
2020-01-23,ORCL,54.41,55.0,54.279999,54.98,51.938068,6583200
2020-01-24,AAPL,80.0625,80.832497,79.379997,79.577499,77.73391,146537600
2020-01-24,MSFT,167.509995,167.529999,164.449997,165.039993,159.699005,24918100
2020-01-24,ORCL,55.060001,55.200001,53.880001,54.07,51.078423,6426000
2020-01-27,MSFT,161.149994,163.380005,160.199997,162.279999,157.028366,32078100
2020-01-27,ORCL,53.18,53.52,52.630001,52.689999,49.774773,8259100
2020-01-27,AAPL,77.514999,77.942497,76.220001,77.237503,75.448135,161940000
2020-01-28,ORCL,52.860001,53.68,52.66,53.459999,50.502174,8620300
2020-01-28,AAPL,78.150002,79.599998,78.047501,79.422501,77.58252,162234000
2020-01-28,MSFT,163.779999,165.759995,163.070007,165.460007,160.105408,24899900
2020-01-29,ORCL,53.779999,53.939999,53.18,53.200001,50.256554,6332500
2020-01-29,AAPL,81.112503,81.962502,80.345001,81.084999,79.20649,216229200
2020-01-29,MSFT,167.839996,168.75,165.690002,168.039993,162.601913,34754500
2020-01-30,ORCL,52.82,53.330002,52.279999,53.310001,50.360477,7176200
2020-01-30,AAPL,80.135002,81.022499,79.6875,80.967499,79.091721,126743200
2020-01-30,MSFT,174.050003,174.050003,170.789993,172.779999,167.188507,51597500
2020-01-31,AAPL,80.232498,80.669998,77.072502,77.377502,75.584885,199588400
2020-01-31,MSFT,172.210007,172.399994,169.580002,170.229996,164.721039,36142700
2020-01-31,ORCL,53.34,53.490002,52.290001,52.450001,49.548061,8884700
2020-02-03,MSFT,170.429993,174.5,170.399994,174.380005,168.73674,30107000
2020-02-03,ORCL,52.73,53.41,52.689999,53.09,50.152653,8892500
2020-02-03,AAPL,76.074997,78.372498,75.555,77.165001,75.377304,173788400
2020-02-04,MSFT,177.139999,180.639999,176.309998,180.119995,174.290985,36433300
